Name,"Base 
Currency",Ticker,ISIN,"Global Broad 
Category Group","Global 
Category",Morningstar Category,"Morningstar 
Institutional Category","Morningstar 
Rating 
Overall",US Category Group,Domicile,Fund Legal Structure,"Equity 
Style Box (Long)","Fixed Inc 
Style Box (Long)",Firm Name,Branding Name,"Inception 
Date",Manager Name,Manager History,Manager Ownership Level,"Manager 
Tenure 
(Longest)","Manager 
Tenure 
(Average)","Primary Prospectus 
Benchmark","Primary Prospectus 
Benchmark Id","Primary Prospectus 
Benchmark Inception Date","Net Assets 
Date",Net Assets-Share Class USD,"Fund Size 
Date","Fund Size 
USD","Holding of 
an Investment","Oldest 
Share Class","12 Mo 
Yield Date","12 Mo 
Yield","Latest 
Dividend 
Date","Latest Dividend 
USD",Share Split,"Latest 
Capital Gain 
Date","Latest 
Capital Gain 
USD","Portfolio 
Date","Return Date 
(Daily)","NAV (Daily) 
USD","Total Ret 
1 Day 
(Daily) 
USD","Total Ret 
YTD 
(Daily) 
USD","Total Ret 
1 Yr 
(Daily) 
USD","Total Ret 
Annlzd 2 Yr 
(Daily) 
USD","Total Ret 
Annlzd 3 Yr 
(Daily) 
USD","Total Ret 
Annlzd 5 Yr 
(Daily) 
USD","Annual Report 
Net Expense 
Ratio","Annual Report 
Ongoing Charge","Annual Report 
Ongoing Charge 
Date","Annual Report 
Gross Expense 
Ratio","Prospectus 
Objective",Turnover Ratio % Date,"Turnover 
Ratio %",SecId,PerformanceId,FundId,StrategyId,StrategyId,CUSIP,Investment Type,"Performance 
Data Ready","Price 
Data Ready","Operations 
Data Ready","Portfolio 
Data Ready","Note Effective 
Date","Primary Share 
in Market","Target Date 
Report Date","Equity Profile 
Report Date",Annual Report Adjusted Expense Ratio,Prospectus Adjusted Expense Ratio,Submarket
Columbia Dividend Income Inst3,US Dollar,CDDYX,US19766M8405,Equity,US Equity Large Cap Value,US Fund Large Value,Giant Value,5,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Columbia Threadneedle,Columbia Threadneedle,11/8/2012,Scott L. Davis;Michael S. Barclay;Tara Gately;,[2003-10-31 -- 2013-12-31] Richard E. Dahlberg;[2011-03-30 -- 2014-06-25] David L. King;[1998-03-02 -- 2001-11-01] Peter B. Hathaway;[2001-11-01 -- ] Scott L. Davis;[2014-06-25 -- 2021-03-09] Peter Santoro;[2011-03-30 -- ] Michael S. Barclay;[2021-09-13 -- ] Tara Gately;,"Scott L. Davis [$100,001 - $500,000];Michael S. Barclay [$500,001 - $1,000,000];Tara Gately [NA - New Manager];",20,10.28,Russell 1000 TR USD,XIUSA000O4,12/31/1978,11/5/2021,"7,622,512,202.00",11/5/2021,"39,081,938,452.00",Yes,No,10/31/2021,1.53,9/21/2021,0.13,,12/13/2019,0.26,9/30/2021,11/5/2021,31.96,,,,,,,0.56,,,0.56,Equity-Income,5/31/2021,11,F00000P0NS,0P0000XBJ3,FSUSA0035T,STUSA0768J,STUSA0768J,19766M840,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.56,0.56,
Columbia Dividend Opportunity Adv,US Dollar,CDORX,US19766C5783,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Columbia Threadneedle,Columbia Threadneedle,11/8/2012,David L. King;Yan Jin;Grace Lee;,[2018-05-01 -- ] David L. King;[1989-10-12 -- 1993-04-01] Richard J. Lazarchic;[1988-08-01 -- 1989-10-12] Frederick Quirsfeld;[2004-02-19 -- 2009-12-31] Warren E. Spitz;[1993-04-01 -- 1995-01-01] Richard H. Warden;[1995-01-01 -- 2003-06-01] Bern Fleming;[2003-04-15 -- 2004-02-19] Lawrence S. Alberts;[2004-02-19 -- 2018-05-01] Steven R. Schroll;[2004-02-19 -- 2013-02-28] Laton Spahr;[2018-05-01 -- ] Yan Jin;[2006-08-01 -- 2018-05-01] Paul Stocking;[2013-03-11 -- 2018-05-01] Dean A. Ramos;[2020-10-01 -- ] Grace Lee;[2018-05-01 -- 2018-10-16] Harrison Chan;,"David L. King [$1,000,001 and above];Yan Jin [$100,001 - $500,000];Grace Lee [NA - New Manager];",3.5,2.69,MSCI USA High Dividend Yield NR USD,F00000Q9GW,11/28/1975,11/5/2021,"113,140,671.00",11/5/2021,"2,518,981,473.00",No,No,10/31/2021,2.69,9/21/2021,0.28,"[2020-09-14]	4.000000	1.000000",12/11/2020,0.28,9/30/2021,11/5/2021,42.28,,,,,,,0.76,,,0.76,Equity-Income,5/31/2021,51,F00000OY4P,0P0000X84Q,FSUSA0018Z,STUSA07167,STUSA07167,19766C578,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.76,0.81,
Columbia Dividend Opportunity Inst3,US Dollar,CDOYX,US19766C5601,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Columbia Threadneedle,Columbia Threadneedle,11/8/2012,David L. King;Yan Jin;Grace Lee;,[2018-05-01 -- ] David L. King;[1989-10-12 -- 1993-04-01] Richard J. Lazarchic;[1988-08-01 -- 1989-10-12] Frederick Quirsfeld;[2004-02-19 -- 2009-12-31] Warren E. Spitz;[1993-04-01 -- 1995-01-01] Richard H. Warden;[1995-01-01 -- 2003-06-01] Bern Fleming;[2003-04-15 -- 2004-02-19] Lawrence S. Alberts;[2004-02-19 -- 2018-05-01] Steven R. Schroll;[2004-02-19 -- 2013-02-28] Laton Spahr;[2018-05-01 -- ] Yan Jin;[2006-08-01 -- 2018-05-01] Paul Stocking;[2013-03-11 -- 2018-05-01] Dean A. Ramos;[2020-10-01 -- ] Grace Lee;[2018-05-01 -- 2018-10-16] Harrison Chan;,"David L. King [$1,000,001 and above];Yan Jin [$100,001 - $500,000];Grace Lee [NA - New Manager];",3.5,2.69,MSCI USA High Dividend Yield NR USD,F00000Q9GW,11/28/1975,11/5/2021,"147,310,776.00",11/5/2021,"2,518,981,473.00",Yes,No,10/31/2021,2.76,9/21/2021,0.29,"[2020-09-14]	4.000000	1.000000",12/11/2020,0.28,9/30/2021,11/5/2021,42.42,,,,,,,0.66,,,0.67,Equity-Income,5/31/2021,51,F00000P0YR,0P0000XBVN,FSUSA0018Z,STUSA07167,STUSA07167,19766C560,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.66,0.71,
Columbia Large Cap Value Inst3,US Dollar,CDEYX,US19766C5866,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Columbia Threadneedle,Columbia Threadneedle,11/8/2012,Hugh H. Mullin,[1990-10-15 -- 1994-09-01] Richard J. Lazarchic;[2013-07-08 -- ] Hugh H. Mullin;[2000-11-29 -- 2009-11-26] Warren E. Spitz;[1998-01-01 -- 2000-06-26] Kurt Winters;[1994-09-01 -- 1998-01-01] Keith Tufte;[2000-05-01 -- 2000-11-29] Keith Tufte;[2003-12-31 -- 2013-07-08] Steven R. Schroll;[2003-12-31 -- 2013-02-28] Laton Spahr;[2006-08-01 -- 2013-07-08] Paul Stocking;[2013-03-11 -- 2013-07-08] Dean A. Ramos;[2013-10-09 -- 2017-06-07] Russell T. Bloomfield;,Hugh H. Mullin [NA - FC Inconsistent],8.33,8.33,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"657,466,744.00",11/5/2021,"2,821,554,730.00",Yes,No,10/31/2021,1.36,9/21/2021,0.06,,12/13/2019,0.6,9/30/2021,11/5/2021,18.01,,,,,,,0.66,,,0.66,Equity-Income,5/31/2021,27,F00000OP02,0P0000WTBR,FSUSA0018A,STUSA04EB9,STUSA04EB9,19766C586,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.66,0.67,
Columbia Select Large Cap Value Adv,US Dollar,CSERX,US19766C3960,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Columbia Threadneedle,Columbia Threadneedle,11/8/2012,Richard S. Rosen;Richard Taft;,[1997-04-25 -- ] Richard S. Rosen;[1997-04-25 -- 2014-01-02] Neil T. Eigen;[2014-01-02 -- 2018-05-01] Kari L. Montanus;[2016-10-01 -- ] Richard Taft;,"Richard S. Rosen [NA - FC Inconsistent];Richard Taft [$100,001 - $500,000];",24.58,14.83,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"239,307,235.00",11/5/2021,"2,020,705,353.00",No,No,10/31/2021,1.88,12/9/2020,0.66,,12/9/2020,1.33,9/30/2021,11/5/2021,34.06,,,,,,,0.54,,,0.87,Growth,5/31/2021,29,F00000OY4N,0P0000X84O,FSUSA0033M,STUSA04E0E,STUSA04E0E,19766C396,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.54,0.55,
Columbia Select Large Cap Value Inst3,US Dollar,CSRYX,US19766J6156,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Columbia Threadneedle,Columbia Threadneedle,10/1/2014,Richard S. Rosen;Richard Taft;,[1997-04-25 -- ] Richard S. Rosen;[1997-04-25 -- 2014-01-02] Neil T. Eigen;[2014-01-02 -- 2018-05-01] Kari L. Montanus;[2016-10-01 -- ] Richard Taft;,"Richard S. Rosen [NA - FC Inconsistent];Richard Taft [$100,001 - $500,000];",24.58,14.83,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"162,688,770.00",11/5/2021,"2,020,705,353.00",Yes,No,10/31/2021,1.96,12/9/2020,0.69,,12/9/2020,1.33,9/30/2021,11/5/2021,34.19,,,,,,,0.43,,,0.76,Growth,5/31/2021,29,F00000UH3C,0P00014B97,FSUSA0033M,STUSA04E0E,STUSA04E0E,19766J615,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.43,0.44,
Delaware Growth and Income Instl,US Dollar,FGIPX,US24611D8627,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,2,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Delaware Funds by Macquarie,Delaware,4/3/2013,Scot Thompson;Benjamin Leung;,[2002-12-31 -- 2018-03-14] Edwin D. Miska;[1998-01-01 -- 2002-12-31] Dennis Fitzpatrick;[1998-01-01 -- 1998-09-22] Kimberly Speegle;[1999-11-01 -- 2002-12-31] Andrew Wedeck;[1993-10-04 -- 1997-12-31] Laura J. Allen;[2019-10-04 -- 2021-01-29] Robert A. Vogel;[2010-12-31 -- 2013-01-31] Sean Reidy;[2018-03-14 -- 2019-10-04] Sean Reidy;[2019-10-04 -- 2021-01-29] Nikhil G. Lalvani;[2019-10-04 -- 2021-01-29] Kristen E. Bartholdson;[2013-01-31 -- 2015-01-31] Douglas R. Waage;[2015-05-19 -- 2019-10-04] Evan Snyder;[2021-01-29 -- ] Scot Thompson;[2021-01-29 -- ] Benjamin Leung;,Scot Thompson [$0 - None];Benjamin Leung [$0 - None];,0.83,0.83,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"4,834,176.00",11/5/2021,"1,077,290,426.00",No,No,10/31/2021,1.77,9/22/2021,0.11,,12/18/2020,0.7,9/30/2021,11/5/2021,15.36,,,,,,,0.85,,,0.86,Growth and Income,9/30/2020,113,F00000PAXN,0P0000XS7I,FSUSA00152,STUSA05TNE,STUSA05TNE,24611D862,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.85,0.82,
Delaware Growth and Income R6,US Dollar,FGIQX,US24611D8544,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,2,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Delaware Funds by Macquarie,Delaware,4/3/2013,Scot Thompson;Benjamin Leung;,[2002-12-31 -- 2018-03-14] Edwin D. Miska;[1998-01-01 -- 2002-12-31] Dennis Fitzpatrick;[1998-01-01 -- 1998-09-22] Kimberly Speegle;[1999-11-01 -- 2002-12-31] Andrew Wedeck;[1993-10-04 -- 1997-12-31] Laura J. Allen;[2019-10-04 -- 2021-01-29] Robert A. Vogel;[2010-12-31 -- 2013-01-31] Sean Reidy;[2018-03-14 -- 2019-10-04] Sean Reidy;[2019-10-04 -- 2021-01-29] Nikhil G. Lalvani;[2019-10-04 -- 2021-01-29] Kristen E. Bartholdson;[2013-01-31 -- 2015-01-31] Douglas R. Waage;[2015-05-19 -- 2019-10-04] Evan Snyder;[2021-01-29 -- ] Scot Thompson;[2021-01-29 -- ] Benjamin Leung;,Scot Thompson [$0 - None];Benjamin Leung [$0 - None];,0.83,0.83,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"44,858.00",11/5/2021,"1,077,290,426.00",No,No,10/31/2021,1.52,9/22/2021,0.11,,12/18/2020,0.7,9/30/2021,11/5/2021,15.46,,,,,,,0.76,,,0.81,Growth and Income,9/30/2020,113,F00000PAXM,0P0000XS7H,FSUSA00152,STUSA05TNE,STUSA05TNE,24611D854,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.76,0.75,
Delaware Ivy Value R,US Dollar,IYVLX,US4658995323,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,2,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Delaware Funds by Macquarie,Delaware,12/19/2012,Matthew T. Norris,[1998-03-13 -- 2000-01-12] Gary Aster;[1994-09-16 -- 1998-03-13] Matthew D. Finn;[2001-01-01 -- 2003-04-30] Matthew D. Finn;[2003-07-31 -- ] Matthew T. Norris;,"Matthew T. Norris [$500,001 - $1,000,000]",18.33,18.33,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,9/30/2021,"11,529.00",9/30/2021,"1,442,309,371.00",No,No,10/31/2021,1.07,9/16/2021,0.07,,12/10/2020,0.47,9/30/2021,11/5/2021,29.82,,,,,,,1.57,,,,Growth,3/31/2021,60,F00000OYB0,0P0000X8C3,FSUSA0022K,STUSA075P6,STUSA075P6,465899532,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.57,1.57,
Delaware Ivy Value R6,US Dollar,IVALX,US46600A7164,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Delaware Funds by Macquarie,Delaware,7/31/2014,Matthew T. Norris,[1998-03-13 -- 2000-01-12] Gary Aster;[1994-09-16 -- 1998-03-13] Matthew D. Finn;[2001-01-01 -- 2003-04-30] Matthew D. Finn;[2003-07-31 -- ] Matthew T. Norris;,"Matthew T. Norris [$500,001 - $1,000,000]",18.33,18.33,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,9/30/2021,"136,190,642.00",9/30/2021,"1,442,309,371.00",Yes,No,10/31/2021,1.71,9/16/2021,0.15,,12/10/2020,0.47,9/30/2021,11/5/2021,30.12,,,,,,,0.76,,,,Growth,3/31/2021,60,F00000U1F5,0P00013SQS,FSUSA0022K,STUSA075P6,STUSA075P6,46600A716,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.76,0.76,
Delaware Value? R6,US Dollar,DDZRX,US24610C8405,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,2,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Delaware Funds by Macquarie,Delaware,5/2/2016,Robert A. Vogel;Nikhil G. Lalvani;Kristen E. Bartholdson;Erin Ksenak;,[1998-09-14 -- 2004-05-07] J. Paul Dokas;[2002-01-31 -- 2004-07-30] Christopher S. Adams;[2002-01-31 -- 2004-07-30] Robert E. Ginsberg;[2004-07-30 -- 2016-02-10] Anthony A. Lombardi;[2004-07-30 -- 2007-07-30] Jordan L. Irving;[2004-07-30 -- 2019-07-15] D. Tysen Nutt;[2004-07-30 -- ] Robert A. Vogel;[2006-10-02 -- ] Nikhil G. Lalvani;[2006-10-02 -- 2010-08-30] Nashira S. Wynn;[2008-12-31 -- ] Kristen E. Bartholdson;[2020-12-01 -- ] Erin Ksenak;,"Robert A. Vogel [$1,000,001 and above];Nikhil G. Lalvani [$100,001 - $500,000];Kristen E. Bartholdson [$0 - None];Erin Ksenak [$0 - None];",17.33,11.56,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"1,222,442,021.00",11/5/2021,"9,851,503,018.00",Yes,No,10/31/2021,1.69,9/22/2021,0.12,,12/18/2020,0.14,9/30/2021,11/5/2021,25.61,,,,,,,0.58,,,0.58,Growth,11/30/2020,25,F00000X53E,0P00017W1D,FSUSA002ZR,STUSA04DJN,STUSA04DJN,24610C840,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.58,0.58,
Diamond Hill Large Cap Y,US Dollar,DHLYX,US25264S6761,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Diamond Hill Funds,Diamond Hill,12/30/2011,Chuck S. Bath;Austin Hawley;,[2002-10-31 -- ] Chuck S. Bath;[2001-06-29 -- 2002-09-23] Ric H. Dillon;[2009-07-14 -- 2020-02-28] Chris Welch;[2001-06-29 -- 2002-09-23] Chris Bingaman;[2007-04-30 -- 2013-06-30] William Dierker;[2015-02-28 -- ] Austin Hawley;[2013-06-30 -- 2015-02-28] Rick Snowdon;[2020-02-28 -- 2020-06-01] Micah Martin;,"Chuck S. Bath [$1,000,001 and above];Austin Hawley [$1,000,001 and above];",19.08,12.92,Russell 1000 TR USD,XIUSA000O4,12/31/1978,10/29/2021,"3,036,199,861.00",10/29/2021,"11,994,143,156.00",Yes,No,10/31/2021,0.95,12/30/2020,0.36,,12/14/2020,0.73,9/30/2021,11/5/2021,37.85,,,,,,,0.55,,,0.55,Growth,12/31/2020,33,F00000N6WT,0P0000UD61,FSUSA00ESY,STUSA04C9D,STUSA04C9D,25264S676,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.55,0.55,
Eaton Vance Large-Cap Value R6,US Dollar,ERLVX,US2779052123,Equity,US Equity Large Cap Value,US Fund Large Value,Giant Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Eaton Vance,Eaton Vance,7/1/2014,Edward J. Perkin;Bradley T. Galko;Aaron S. Dunn;,[1981-08-01 -- 1985-12-01] Peter F. Kiely;[1990-04-01 -- 1994-04-25] A. Walker Martin;[1994-04-25 -- 2000-01-01] Duncan W. Richardson;[1985-12-01 -- 1990-04-01] Robert Dunbar;[2000-01-01 -- 2014-06-30] Michael R. Mach;[2014-06-30 -- ] Edward J. Perkin;[2020-02-03 -- ] Bradley T. Galko;[2009-12-31 -- 2017-12-08] John D. Crowley;[2009-12-31 -- 2014-05-20] Matthew F. Beaudry;[2009-12-31 -- 2014-05-20] Stephen J. Kaszynski;[2017-12-08 -- ] Aaron S. Dunn;,"Edward J. Perkin [$1,000,001 and above];Bradley T. Galko [$0 - None];Aaron S. Dunn [$0 - None];",7.42,4.36,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,10/29/2021,"95,811,323.00",10/29/2021,"1,703,605,055.00",No,No,10/31/2021,1.3,9/9/2021,0.08,,8/18/2020,0.15,9/30/2021,11/5/2021,25.61,,,,,,,0.72,,,0.72,Growth and Income,12/31/2020,65,F00000T3GP,0P00012LZY,FSUSA000MZ,STUSA04QY1,STUSA04QY1,277905212,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.72,0.72,
Federated Hermes MDT Large Cap Value A,US Dollar,FSTRX,US3142092069,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Federated,Federated,5/1/2014,Frederick L. Konopka;Daniel J. Mahr;John Paul Lewicke;Damien Zhang;,[1982-03-31 -- 1997-11-01] Peter R. Anderson;[1998-10-01 -- 1998-12-14] Charles A. Ritter;[1997-11-01 -- 2002-12-31] Michael P. Donnelly;[1994-02-01 -- 1994-12-31] Frederick L. Plautz;[1995-06-01 -- 1996-07-15] Timothy Keefe;[2008-08-28 -- 2009-03-31] Walter C. Bean;[1996-06-03 -- 1998-10-01] Scott B. Schermerhorn;[2002-12-31 -- 2004-10-14] Steven J. Lehman;[1999-08-31 -- 2008-08-27] Kevin R. McCloskey;[2002-12-31 -- 2005-12-28] John L. Nichol;[2004-10-14 -- 2006-08-17] William Dierker;[2009-04-01 -- ] Frederick L. Konopka;[2009-04-01 -- 2010-06-28] Douglas K. Thunen;[2009-04-01 -- 2018-08-08] Brian M. Greenberg;[2009-04-01 -- ] Daniel J. Mahr;[2010-06-29 -- 2010-11-04] David A. Troiano;[2014-09-26 -- ] John Paul Lewicke;[2018-08-08 -- ] Damien Zhang;,"Frederick L. Konopka [$0 - None];Daniel J. Mahr [$0 - None];John Paul Lewicke [$1 - $10,000];Damien Zhang [$0 - None];",12.58,8.9,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/4/2021,"585,673,925.00",11/4/2021,"1,305,692,630.00",No,No,10/31/2021,1.02,9/24/2021,0.09,,12/5/2019,0.36,9/30/2021,11/4/2021,36.06,,,,,,,0.98,,,1.21,Growth and Income,10/31/2020,139,F00000SZ8D,0P00012F82,FSUSA000R8,STUSA05JJZ,STUSA05JJZ,314209206,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.98,0.99,
Federated Hermes MDT Large Cap Value B,US Dollar,QBLVX,US3142093059,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,2,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Federated,Federated,12/11/2017,Frederick L. Konopka;Daniel J. Mahr;John Paul Lewicke;Damien Zhang;,[1982-03-31 -- 1997-11-01] Peter R. Anderson;[1998-10-01 -- 1998-12-14] Charles A. Ritter;[1997-11-01 -- 2002-12-31] Michael P. Donnelly;[1994-02-01 -- 1994-12-31] Frederick L. Plautz;[1995-06-01 -- 1996-07-15] Timothy Keefe;[2008-08-28 -- 2009-03-31] Walter C. Bean;[1996-06-03 -- 1998-10-01] Scott B. Schermerhorn;[2002-12-31 -- 2004-10-14] Steven J. Lehman;[1999-08-31 -- 2008-08-27] Kevin R. McCloskey;[2002-12-31 -- 2005-12-28] John L. Nichol;[2004-10-14 -- 2006-08-17] William Dierker;[2009-04-01 -- ] Frederick L. Konopka;[2009-04-01 -- 2010-06-28] Douglas K. Thunen;[2009-04-01 -- 2018-08-08] Brian M. Greenberg;[2009-04-01 -- ] Daniel J. Mahr;[2010-06-29 -- 2010-11-04] David A. Troiano;[2014-09-26 -- ] John Paul Lewicke;[2018-08-08 -- ] Damien Zhang;,"Frederick L. Konopka [$0 - None];Daniel J. Mahr [$0 - None];John Paul Lewicke [$1 - $10,000];Damien Zhang [$0 - None];",12.58,8.9,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/4/2021,"3,663,224.00",11/4/2021,"1,305,692,630.00",No,No,10/31/2021,0.26,9/24/2021,0.02,,12/5/2019,0.36,9/30/2021,11/5/2021,36.26,,,,,,,1.81,,,2,Growth and Income,10/31/2020,139,F00000Z1IX,0P0001ALQX,FSUSA000R8,STUSA05JJZ,STUSA05JJZ,314209305,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.81,1.86,
Federated Hermes MDT Large Cap Value C,US Dollar,QCLVX,US3142094040,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,2,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Federated,Federated,12/11/2017,Frederick L. Konopka;Daniel J. Mahr;John Paul Lewicke;Damien Zhang;,[1982-03-31 -- 1997-11-01] Peter R. Anderson;[1998-10-01 -- 1998-12-14] Charles A. Ritter;[1997-11-01 -- 2002-12-31] Michael P. Donnelly;[1994-02-01 -- 1994-12-31] Frederick L. Plautz;[1995-06-01 -- 1996-07-15] Timothy Keefe;[2008-08-28 -- 2009-03-31] Walter C. Bean;[1996-06-03 -- 1998-10-01] Scott B. Schermerhorn;[2002-12-31 -- 2004-10-14] Steven J. Lehman;[1999-08-31 -- 2008-08-27] Kevin R. McCloskey;[2002-12-31 -- 2005-12-28] John L. Nichol;[2004-10-14 -- 2006-08-17] William Dierker;[2009-04-01 -- ] Frederick L. Konopka;[2009-04-01 -- 2010-06-28] Douglas K. Thunen;[2009-04-01 -- 2018-08-08] Brian M. Greenberg;[2009-04-01 -- ] Daniel J. Mahr;[2010-06-29 -- 2010-11-04] David A. Troiano;[2014-09-26 -- ] John Paul Lewicke;[2018-08-08 -- ] Damien Zhang;,"Frederick L. Konopka [$0 - None];Daniel J. Mahr [$0 - None];John Paul Lewicke [$1 - $10,000];Damien Zhang [$0 - None];",12.58,8.9,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/4/2021,"11,246,731.00",11/4/2021,"1,305,692,630.00",No,No,10/31/2021,0.29,9/24/2021,0.02,,12/5/2019,0.36,9/30/2021,11/5/2021,36.23,,,,,,,1.8,,,1.99,Growth and Income,10/31/2020,139,F00000Z1IY,0P0001ALQY,FSUSA000R8,STUSA05JJZ,STUSA05JJZ,314209404,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.8,1.81,
Federated Hermes MDT Large Cap Value R,US Dollar,QRLVX,US3142095039,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Federated,Federated,12/11/2017,Frederick L. Konopka;Daniel J. Mahr;John Paul Lewicke;Damien Zhang;,[1982-03-31 -- 1997-11-01] Peter R. Anderson;[1998-10-01 -- 1998-12-14] Charles A. Ritter;[1997-11-01 -- 2002-12-31] Michael P. Donnelly;[1994-02-01 -- 1994-12-31] Frederick L. Plautz;[1995-06-01 -- 1996-07-15] Timothy Keefe;[2008-08-28 -- 2009-03-31] Walter C. Bean;[1996-06-03 -- 1998-10-01] Scott B. Schermerhorn;[2002-12-31 -- 2004-10-14] Steven J. Lehman;[1999-08-31 -- 2008-08-27] Kevin R. McCloskey;[2002-12-31 -- 2005-12-28] John L. Nichol;[2004-10-14 -- 2006-08-17] William Dierker;[2009-04-01 -- ] Frederick L. Konopka;[2009-04-01 -- 2010-06-28] Douglas K. Thunen;[2009-04-01 -- 2018-08-08] Brian M. Greenberg;[2009-04-01 -- ] Daniel J. Mahr;[2010-06-29 -- 2010-11-04] David A. Troiano;[2014-09-26 -- ] John Paul Lewicke;[2018-08-08 -- ] Damien Zhang;,"Frederick L. Konopka [$0 - None];Daniel J. Mahr [$0 - None];John Paul Lewicke [$1 - $10,000];Damien Zhang [$0 - None];",12.58,8.9,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/4/2021,"18,865,676.00",11/4/2021,"1,305,692,630.00",No,No,10/31/2021,0.65,9/24/2021,0.05,,12/5/2019,0.36,9/30/2021,11/5/2021,36.19,,,,,,,1.43,,,1.65,Growth and Income,10/31/2020,139,F00000Z1IZ,0P0001ALQZ,FSUSA000R8,STUSA05JJZ,STUSA05JJZ,314209503,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.43,1.44,
